People Media Colombia Country > Region > City Report -- Geo 25-1-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Range: 2/24/2020 to 2/24/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Date,Campaign ID,Campaign Name,Start Date,End Date,Country,Region,City,Imps. Won,Clicks,CTR,Total eCPM,Total eCPC,Total eCPA,CTC,VTC,Total Conversions,Click CVR,View CVR,Total CVRM,CTC Revenue,VTC Revenue,Total Revenue,Media Spend,Data Spend,Total Spend,Audio/Video Starts,25% Complete,50% Complete,75% Complete,100% Complete,Completion Rate,eCPCV,Companion Imps. Won,Companion Clicks,Companion CTC,Companion CTC Revenue
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,California,3,0,0.00%,$0.21 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Campamento,1,0,0.00%,$0.11 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Carepa,4,0,0.00%,$0.21 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Carmen de Viboral,2,0,0.00%,$0.16 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Caucasia,17,0,0.00%,$0.21 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,2,1,1,1,1,50.00%,$0.00 ,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Chigorodo,27,0,0.00%,$0.25 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,1,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Ciudad Bolivar,3,0,0.00%,$0.25 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,2,1,1,1,1,50.00%,$0.00 ,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Colombia,48,0,0.00%,$0.24 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Copacabana,33,0,0.00%,$0.25 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,4,1,1,1,1,25.00%,$0.01 ,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Cordoba,170,2,1.18%,$0.23 ,$0.02 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.03 ,$0.01 ,$0.04 ,2,0,0,0,0,0.00%,-,0,0,0,$0.00 
